,date,open,close,min,max,bullish
179,20010219.0,6500.0,6488.0,6470.0,6512.5,0
180,20010220.0,6501.0,6465.0,6443.5,6550.5,0
181,20010221.0,6430.0,6368.0,6330.5,6436.0,0
182,20010222.0,6331.0,6276.0,6237.5,6378.5,0
183,20010223.0,6318.0,6082.0,6077.0,6335.0,0
184,20010226.0,6174.0,6195.0,6143.5,6228.0,1
185,20010227.0,6207.5,6209.0,6173.0,6273.5,1
186,20010228.0,6195.0,6214.5,6181.5,6301.5,1
187,20010301.0,6175.0,6111.5,6105.0,6188.0,0
188,20010302.0,6120.0,6189.0,6058.5,6195.0,1
189,20010305.0,6189.0,6197.5,6140.5,6223.5,1
190,20010306.0,6243.0,6307.0,6237.0,6317.0,1
191,20010307.0,6269.0,6324.5,6260.5,6350.0,1
192,20010308.0,6335.0,6265.5,6252.0,6345.0,0
193,20010309.0,6233.0,6220.0,6195.0,6269.0,0
194,20010312.0,6155.0,6046.5,6044.5,6160.0,0
195,20010313.0,5970.0,5972.0,5935.0,6022.0,0
196,20010314.0,6004.5,5802.0,5665.0,6009.0,0
197,20010315.0,5848.0,5856.0,5768.5,5887.5,0
198,20010316.0,5862.5,5770.0,5756.0,5875.0,0
199,20010319.0,5805.0,5697.0,5674.0,5842.0,0
200,20010320.0,5755.5,5808.5,5736.0,5815.0,1
201,20010321.0,5705.0,5650.0,5624.0,5757.5,0
202,20010322.0,5623.0,5405.0,5374.5,5637.0,0
203,20010323.0,5525.0,5575.0,5488.0,5597.0,1
204,20010326.0,5648.0,5773.5,5620.5,5779.0,1
205,20010327.0,5730.0,5931.0,5710.5,5940.5,1
206,20010328.0,5890.0,5817.0,5797.5,5902.0,0
207,20010329.0,5776.0,5890.0,5728.5,5899.0,1
208,20010330.0,5855.0,5825.5,5815.0,5960.0,1
209,20010402.0,5924.0,5729.0,5712.5,5925.0,0
210,20010403.0,5705.0,5550.5,5527.0,5719.5,0
211,20010404.0,5525.0,5605.5,5398.0,5649.0,0
212,20010405.0,5666.0,5790.5,5645.0,5803.0,1
213,20010406.0,5833.5,5705.5,5665.5,5833.5,0
214,20010409.0,5690.0,5797.0,5687.0,5826.5,1
215,20010410.0,5809.0,5900.5,5801.0,5930.0,1
216,20010411.0,5890.0,5958.5,5885.5,6030.0,1
217,20010412.0,5979.0,6035.0,5927.5,6043.0,1
218,20010417.0,5933.0,5942.5,5843.0,5975.5,0
219,20010418.0,6060.0,6188.0,6046.0,6214.0,1
220,20010419.0,6195.0,6196.0,6121.5,6203.0,0
221,20010420.0,6217.0,6134.0,6114.5,6218.5,0
222,20010423.0,6130.0,6067.0,6045.5,6130.0,0
223,20010424.0,6075.0,6153.0,6070.0,6180.5,1
224,20010425.0,6100.0,6155.5,6077.0,6162.0,1
225,20010426.0,6160.0,6167.0,6075.0,6184.5,0
226,20010427.0,6111.0,6194.0,6090.0,6210.0,1
227,20010430.0,6210.0,6282.0,6200.0,6295.5,1
228,20010502.0,6295.0,6244.5,6206.5,6303.5,0
229,20010503.0,6255.0,6091.0,6079.0,6264.0,0
230,20010504.0,6100.0,6159.5,6020.5,6162.5,1
231,20010507.0,6174.0,6139.0,6113.5,6212.5,0
232,20010508.0,6118.5,6125.0,6088.5,6194.0,1
233,20010509.0,6090.0,6078.0,6040.0,6114.0,1
234,20010510.0,6093.0,6192.0,6092.0,6236.0,1
235,20010511.0,6150.0,6146.0,6133.0,6206.0,1
236,20010514.0,6120.0,6062.0,6051.0,6124.5,0
237,20010515.0,6108.0,6060.0,6033.0,6110.5,0
238,20010516.0,6045.0,6190.0,5966.5,6190.0,1
239,20010517.0,6242.0,6174.0,6147.5,6242.0,0
240,20010518.0,6145.0,6198.0,6132.0,6226.5,1
241,20010521.0,6225.0,6253.0,6145.0,6277.0,1
242,20010522.0,6279.0,6277.0,6256.5,6352.5,1
243,20010523.0,6250.0,6250.0,6223.0,6301.5,0
244,20010524.0,6220.0,6287.0,6210.5,6320.5,1
245,20010525.0,6285.0,6235.0,6215.0,6315.0,0
246,20010529.0,6229.0,6129.5,6122.0,6251.5,0
247,20010530.0,6103.0,6055.0,6052.0,6118.0,0
248,20010531.0,6030.0,6152.5,5999.5,6163.0,1
249,20010601.0,6111.0,6143.5,6060.0,6185.5,1
250,20010604.0,6147.5,6172.5,6144.0,6196.0,1
251,20010605.0,6211.5,6264.0,6158.5,6269.0,1
252,20010606.0,6276.0,6207.5,6177.5,6276.0,0
253,20010607.0,6201.0,6216.0,6161.0,6227.0,0
254,20010608.0,6235.0,6182.0,6172.5,6272.0,0
255,20010611.0,6182.0,6174.5,6140.5,6233.0,0
256,20010612.0,6169.0,6064.5,6029.5,6174.5,0
257,20010613.0,6098.0,6122.0,6076.5,6147.0,1
258,20010614.0,6090.0,6024.0,6016.5,6098.0,0
259,20010615.0,5987.0,6001.0,5957.5,6028.5,1
260,20010618.0,6020.0,5939.5,5918.0,6020.0,0
261,20010619.0,5965.0,5996.0,5955.0,6048.0,1
262,20010620.0,5928.0,5938.0,5880.0,5959.0,1
263,20010621.0,5989.0,5982.0,5898.0,5991.0,0
264,20010622.0,5976.5,5968.0,5934.0,6018.0,0
265,20010625.0,5940.0,5964.0,5931.0,6014.0,1
266,20010626.0,5933.0,5907.0,5827.0,5941.5,0
267,20010627.0,5903.5,5899.0,5872.5,5914.0,0
268,20010628.0,5884.0,6033.0,5815.0,6035.0,1
269,20010629.0,6030.0,6115.0,6015.0,6123.5,1
270,20010702.0,6073.5,6167.5,6058.0,6190.5,1
271,20010703.0,6147.0,6123.5,6094.5,6167.0,0
272,20010704.0,6122.0,6061.0,6052.5,6139.0,0
273,20010705.0,5995.5,6044.0,5990.5,6099.0,1
274,20010706.0,5988.0,5912.0,5897.0,6001.0,0
275,20010709.0,5930.0,5927.0,5838.0,5949.0,0
276,20010710.0,5932.0,5852.0,5852.0,5976.0,0
277,20010711.0,5800.0,5850.5,5780.0,5861.5,0
278,20010712.0,5940.0,5940.0,5907.5,5972.0,0
279,20010713.0,5941.0,5981.0,5893.0,5993.0,1
280,20010716.0,5975.0,5890.0,5881.0,5975.0,0
281,20010717.0,5867.0,5894.0,5830.0,5896.0,0
282,20010718.0,5858.0,5765.0,5752.5,5863.5,0
283,20010719.0,5796.0,5840.0,5749.0,5864.0,1
284,20010720.0,5795.0,5790.5,5750.0,5822.5,1
285,20010723.0,5770.0,5841.0,5741.5,5887.5,1
286,20010724.0,5780.0,5699.5,5699.0,5825.0,0
287,20010725.0,5717.0,5610.0,5586.5,5770.0,0
288,20010726.0,5665.0,5705.0,5611.5,5709.5,1
289,20010727.0,5732.0,5796.0,5724.0,5817.0,1
290,20010730.0,5755.0,5827.5,5750.0,5870.0,1
291,20010731.0,5830.0,5888.0,5794.0,5899.0,1
292,20010801.0,5857.0,5877.0,5848.5,5900.0,1
293,20010802.0,5885.0,5810.5,5795.5,5967.5,0
294,20010803.0,5830.0,5788.0,5773.5,5842.5,0
295,20010806.0,5786.0,5794.0,5741.0,5836.5,0
296,20010807.0,5765.0,5784.0,5723.5,5819.0,1
297,20010808.0,5738.0,5652.0,5642.5,5764.0,0
298,20010809.0,5595.0,5538.0,5499.0,5617.0,0
299,20010810.0,5566.5,5471.5,5413.0,5601.5,0
300,20010813.0,5467.5,5502.0,5427.5,5529.0,1
301,20010814.0,5538.0,5552.0,5518.0,5598.0,0
302,20010815.0,5525.0,5480.0,5451.0,5559.0,0
303,20010816.0,5425.0,5390.0,5356.5,5438.0,0
304,20010817.0,5410.0,5236.0,5195.5,5438.0,0
305,20010820.0,5235.0,5210.5,5146.0,5287.5,0
306,20010821.0,5240.0,5250.5,5190.0,5274.0,1
307,20010822.0,5175.0,5242.0,5164.5,5345.0,1
308,20010823.0,5265.0,5271.5,5203.5,5300.0,1
309,20010824.0,5303.0,5430.0,5297.0,5447.0,1
310,20010827.0,5436.0,5426.0,5400.0,5472.0,0
311,20010828.0,5425.0,5326.0,5300.5,5471.0,0
312,20010829.0,5290.0,5315.0,5257.5,5364.5,1
313,20010830.0,5331.5,5180.0,5169.5,5350.5,0
314,20010831.0,5185.0,5197.0,5147.5,5242.5,1
315,20010903.0,5174.0,5111.0,5075.5,5186.5,0
316,20010904.0,5178.0,5218.0,5044.5,5238.0,0
